objective,publisher_platform,age,gender,total_original,total_estimated,delta,pct_change
conversions,audience_network,45-54,female,0.0,89867.4,89867.4,
,,45-54,female,34144.0,0.0,-34144.0,-100.0
,,35-44,female,22703.0,0.0,-22703.0,-100.0
,,65+,female,13271.0,0.0,-13271.0,-100.0
,,55-64,female,8473.0,0.0,-8473.0,-100.0
,,25-34,female,6386.0,0.0,-6386.0,-100.0
outcome_sales,facebook,45-54,female,0.0,3414.4,3414.4,
outcome_sales,audience_network,45-54,female,0.0,3414.4,3414.4,
conversions,instagram,45-54,female,0.0,3414.4,3414.4,
conversions,threads,45-54,female,0.0,3414.4,3414.4,
outcome_sales,threads,45-54,female,0.0,3414.4,3414.4,
outcome_sales,instagram,45-54,female,0.0,3414.4,3414.4,
conversions,messenger,45-54,female,0.0,3414.4,3414.4,
conversions,facebook,45-54,female,0.0,3414.4,3414.4,
outcome_sales,messenger,45-54,female,0.0,3414.4,3414.4,
conversions,instagram,35-44,female,0.0,2270.3,2270.3,
outcome_sales,facebook,35-44,female,0.0,2270.3,2270.3,
conversions,audience_network,35-44,female,0.0,2270.3,2270.3,
conversions,threads,35-44,female,0.0,2270.3,2270.3,
outcome_sales,audience_network,35-44,female,0.0,2270.3,2270.3,
conversions,facebook,35-44,female,0.0,2270.3,2270.3,
outcome_sales,instagram,35-44,female,0.0,2270.3,2270.3,
outcome_sales,messenger,35-44,female,0.0,2270.3,2270.3,
conversions,messenger,35-44,female,0.0,2270.3,2270.3,
outcome_sales,threads,35-44,female,0.0,2270.3,2270.3,
outcome_sales,facebook,65+,female,0.0,1327.1000000000001,1327.1000000000001,
conversions,threads,65+,female,0.0,1327.1000000000001,1327.1000000000001,
outcome_sales,audience_network,65+,female,0.0,1327.1000000000001,1327.1000000000001,
conversions,audience_network,65+,female,0.0,1327.1000000000001,1327.1000000000001,
outcome_sales,threads,65+,female,0.0,1327.1000000000001,1327.1000000000001,
conversions,facebook,65+,female,0.0,1327.1000000000001,1327.1000000000001,
outcome_sales,messenger,65+,female,0.0,1327.1000000000001,1327.1000000000001,
conversions,instagram,65+,female,0.0,1327.1000000000001,1327.1000000000001,
conversions,messenger,65+,female,0.0,1327.1000000000001,1327.1000000000001,
outcome_sales,instagram,65+,female,0.0,1327.1000000000001,1327.1000000000001,
